Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
12/5/2024,PA005,London,Tokyo,Premium Economy,1690,Yes,0,Vegetarian
10/31/2024,PA011,Perth,Tokyo,Economy,1170,Yes,1,Nut Free
4/25/2024,PA006,Tokyo,London,First Class,399,Yes,1,Nut Free
2/26/2024,PA001,London,New York,Premium Economy,1262.5,Yes,2,Nut Free
4/23/2024,PA001,London,New York,Premium Economy,552.5,Yes,3,Egg Free
8/30/2024,PA009,New York,Tokyo,First Class,482,Yes,0,Vegetarian
9/27/2024,PA001,London,New York,Business Class,831.6,Yes,1,Nut Free
4/1/2024,PA005,London,Tokyo,First Class,270,Yes,2,Dairy Free
9/11/2024,PA005,London,Tokyo,Business Class,724.8,Yes,3,Egg Free
12/27/2024,PA005,London,Tokyo,First Class,602,Yes,1,None
12/23/2024,PA009,New York,Tokyo,Premium Economy,1030,Yes,0,Vegetarian
7/10/2024,PA012,Tokyo,Perth,Premium Economy,1592.5,Yes,2,None
7/24/2024,PA011,Perth,Tokyo,First Class,413,Yes,0,Vegetarian
1/29/2024,PA006,Tokyo,London,Economy,1095,Yes,2,Vegan
8/27/2024,PA008,Perth,New York,Premium Economy,1637.5,Yes,0,Egg Free
5/21/2024,PA010,Tokyo,New York,Premium Economy,667.5,Yes,2,Nut Free
9/14/2024,PA009,New York,Tokyo,Economy,2875,Yes,1,None
1/26/2024,PA011,Perth,Tokyo,First Class,216,Yes,2,Vegan
8/15/2024,PA006,Tokyo,London,Economy,2395,Yes,1,Egg Free
11/1/2024,PA009,New York,Tokyo,Business Class,373.2,Yes,2,Egg Free
4/3/2024,PA006,Tokyo,London,Economy,1930,Yes,3,Vegetarian
12/9/2024,PA002,New York,London,First Class,352,Yes,0,Egg Free
5/21/2024,PA002,New York,London,Business Class,795.6,Yes,0,Vegan
6/2/2024,PA011,Perth,Tokyo,Premium Economy,762.5,Yes,2,Vegetarian
10/16/2024,PA011,Perth,Tokyo,First Class,572,Yes,1,Vegetarian
11/4/2024,PA001,London,New York,Premium Economy,522.5,Yes,0,Vegan
3/19/2024,PA009,New York,Tokyo,Premium Economy,1170,Yes,1,None
5/2/2024,PA002,New York,London,Premium Economy,695,Yes,1,Vegan
12/12/2024,PA003,London,Perth,Business Class,482.4,Yes,0,None
12/28/2024,PA007,New York,Perth,Business Class,460.8,Yes,1,None
9/21/2024,PA002,New York,London,First Class,533,Yes,2,Vegan
10/28/2024,PA008,Perth,New York,Premium Economy,1342.5,Yes,2,Vegan
12/21/2024,PA003,London,Perth,Economy,1495,Yes,0,Vegan
4/7/2024,PA002,New York,London,Business Class,462,Yes,1,Egg Free
1/10/2024,PA007,New York,Perth,Business Class,406.8,Yes,1,Egg Free
9/11/2024,PA004,Perth,London,Premium Economy,1132.5,Yes,2,Egg Free
5/7/2024,PA004,Perth,London,First Class,438,Yes,1,None
5/1/2024,PA011,Perth,Tokyo,First Class,385,Yes,0,Egg Free
9/27/2024,PA008,Perth,New York,Premium Economy,1037.5,Yes,3,Nut Free
10/17/2024,PA007,New York,Perth,Premium Economy,1580,Yes,3,Dairy Free
10/7/2024,PA012,Tokyo,Perth,Business Class,387.6,Yes,0,None
3/21/2024,PA004,Perth,London,First Class,260,Yes,0,Vegetarian
11/12/2024,PA010,Tokyo,New York,Economy,3295,Yes,3,Nut Free
9/21/2024,PA001,London,New York,First Class,215,Yes,2,None
12/29/2024,PA002,New York,London,First Class,616,Yes,1,Nut Free
8/6/2024,PA007,New York,Perth,Business Class,664.8,Yes,0,Dairy Free
9/19/2024,PA006,Tokyo,London,First Class,468,Yes,0,Vegan
11/30/2024,PA004,Perth,London,Economy,1200,Yes,2,None
10/29/2024,PA001,London,New York,Economy,1695,Yes,0,Egg Free
12/15/2024,PA008,Perth,New York,Premium Economy,1690,Yes,2,Vegan
12/18/2024,PA010,Tokyo,New York,Economy,1335,Yes,0,Vegan
1/22/2024,PA012,Tokyo,Perth,Premium Economy,862.5,Yes,0,Dairy Free
6/23/2024,PA004,Perth,London,Business Class,386.4,Yes,0,Vegan
11/4/2024,PA007,New York,Perth,Economy,2455,Yes,0,None
10/9/2024,PA006,Tokyo,London,Business Class,428.4,Yes,3,Egg Free
9/24/2024,PA002,New York,London,Economy,2690,Yes,0,Egg Free
10/1/2024,PA002,New York,London,Economy,1120,Yes,1,Dairy Free
11/21/2024,PA011,Perth,Tokyo,First Class,420,Yes,0,Egg Free
9/30/2024,PA008,Perth,New York,Premium Economy,1355,Yes,1,None
8/9/2024,PA006,Tokyo,London,Economy,1515,Yes,3,Nut Free
10/20/2024,PA005,London,Tokyo,Premium Economy,832.5,Yes,0,Vegetarian
11/27/2024,PA001,London,New York,Economy,2350,Yes,2,Nut Free
9/27/2024,PA004,Perth,London,Economy,2825,Yes,3,Vegetarian
12/8/2024,PA003,London,Perth,Premium Economy,1330,Yes,2,Dairy Free
2/7/2024,PA009,New York,Tokyo,Business Class,486,Yes,2,Dairy Free
3/13/2024,PA011,Perth,Tokyo,First Class,610,Yes,1,Vegetarian
1/19/2024,PA006,Tokyo,London,Premium Economy,1160,Yes,0,Vegan
7/12/2024,PA012,Tokyo,Perth,Business Class,786,Yes,3,Vegan
5/2/2024,PA002,New York,London,First Class,392,Yes,2,Vegan
12/12/2024,PA010,Tokyo,New York,First Class,688,Yes,0,Egg Free
3/27/2024,PA011,Perth,Tokyo,Premium Economy,1610,Yes,3,Nut Free
6/24/2024,PA010,Tokyo,New York,Premium Economy,592.5,Yes,0,Dairy Free
2/8/2024,PA006,Tokyo,London,First Class,272,Yes,2,Nut Free
4/20/2024,PA011,Perth,Tokyo,Premium Economy,1517.5,Yes,2,Vegan
9/27/2024,PA002,New York,London,First Class,683,Yes,1,Nut Free
8/11/2024,PA011,Perth,Tokyo,Business Class,738,Yes,0,Vegan
2/4/2024,PA011,Perth,Tokyo,Business Class,352.8,Yes,2,Vegetarian
1/31/2024,PA005,London,Tokyo,Premium Economy,1692.5,Yes,3,None
3/21/2024,PA010,Tokyo,New York,Business Class,447.6,Yes,1,None
6/26/2024,PA010,Tokyo,New York,Premium Economy,1630,Yes,2,Dairy Free
9/17/2024,PA010,Tokyo,New York,Business Class,324,Yes,1,Vegetarian
2/26/2024,PA002,New York,London,Economy,2560,Yes,3,Dairy Free
12/7/2024,PA004,Perth,London,Premium Economy,1582.5,Yes,1,Nut Free
6/11/2024,PA011,Perth,Tokyo,Business Class,480,Yes,2,Egg Free
1/5/2024,PA009,New York,Tokyo,Economy,1805,Yes,2,Nut Free
8/6/2024,PA009,New York,Tokyo,Economy,1900,Yes,2,Nut Free
4/13/2024,PA004,Perth,London,Premium Economy,1340,Yes,2,Nut Free
9/20/2024,PA006,Tokyo,London,Business Class,463.2,Yes,0,Nut Free
5/6/2024,PA006,Tokyo,London,Business Class,744,Yes,3,Egg Free
1/18/2024,PA004,Perth,London,Economy,1410,Yes,0,Dairy Free
1/27/2024,PA002,New York,London,Economy,3160,Yes,2,Dairy Free
12/27/2024,PA009,New York,Tokyo,First Class,477,Yes,0,Nut Free
8/13/2024,PA010,Tokyo,New York,First Class,660,Yes,1,Vegetarian
6/12/2024,PA008,Perth,New York,Economy,1905,Yes,2,Vegetarian
9/1/2024,PA012,Tokyo,Perth,Economy,2295,Yes,2,Vegan
10/23/2024,PA007,New York,Perth,First Class,414,Yes,3,Egg Free
5/20/2024,PA001,London,New York,Premium Economy,1185,Yes,1,Vegetarian
2/17/2024,PA008,Perth,New York,Economy,2880,Yes,0,Vegetarian
1/29/2024,PA002,New York,London,First Class,649,Yes,0,Vegan
8/16/2024,PA004,Perth,London,Economy,3205,Yes,0,Dairy Free
1/4/2024,PA002,New York,London,First Class,398,Yes,1,Vegetarian
9/6/2024,PA002,New York,London,Economy,2940,Yes,0,Egg Free
2/8/2024,PA002,New York,London,Economy,1315,Yes,0,Egg Free
6/1/2024,PA001,London,New York,Business Class,751.2,Yes,2,Vegan
5/14/2024,PA010,Tokyo,New York,First Class,502,Yes,1,Dairy Free
10/1/2024,PA008,Perth,New York,Premium Economy,860,Yes,3,Egg Free
11/20/2024,PA005,London,Tokyo,Premium Economy,1007.5,Yes,3,Vegetarian
8/2/2024,PA001,London,New York,Premium Economy,1502.5,Yes,0,None
6/9/2024,PA002,New York,London,First Class,530,Yes,3,Egg Free
4/3/2024,PA003,London,Perth,Economy,1455,Yes,0,Egg Free
5/10/2024,PA008,Perth,New York,Business Class,720,Yes,0,Egg Free
10/23/2024,PA003,London,Perth,Business Class,295.2,Yes,0,Egg Free
7/29/2024,PA012,Tokyo,Perth,Business Class,840,Yes,0,None
7/5/2024,PA006,Tokyo,London,Business Class,733.2,Yes,2,Nut Free
8/23/2024,PA009,New York,Tokyo,Premium Economy,945,Yes,1,Egg Free
1/18/2024,PA004,Perth,London,First Class,476,Yes,0,Dairy Free
8/17/2024,PA008,Perth,New York,Premium Economy,915,Yes,2,Dairy Free
7/28/2024,PA012,Tokyo,Perth,First Class,481,Yes,1,Vegetarian
6/24/2024,PA006,Tokyo,London,Business Class,338.4,Yes,3,Nut Free
10/5/2024,PA008,Perth,New York,Economy,1345,Yes,3,Nut Free
3/9/2024,PA010,Tokyo,New York,First Class,500,Yes,3,Vegan
3/12/2024,PA008,Perth,New York,Economy,1505,Yes,3,Vegan
9/22/2024,PA011,Perth,Tokyo,Premium Economy,962.5,Yes,0,Dairy Free
5/29/2024,PA010,Tokyo,New York,First Class,209,Yes,3,Vegan
6/27/2024,PA008,Perth,New York,Economy,2310,Yes,0,Dairy Free
7/19/2024,PA001,London,New York,First Class,506,Yes,0,Dairy Free
9/2/2024,PA007,New York,Perth,Economy,2935,Yes,2,Egg Free
12/15/2024,PA009,New York,Tokyo,Business Class,721.2,Yes,3,None
9/7/2024,PA002,New York,London,Business Class,638.4,Yes,2,Egg Free
6/14/2024,PA012,Tokyo,Perth,First Class,415,Yes,3,Vegan
8/30/2024,PA011,Perth,Tokyo,Premium Economy,1167.5,Yes,0,Vegetarian
2/25/2024,PA009,New York,Tokyo,Premium Economy,772.5,Yes,0,None
1/23/2024,PA007,New York,Perth,Business Class,679.2,Yes,3,Vegan
2/25/2024,PA005,London,Tokyo,Business Class,523.2,Yes,1,Nut Free
7/25/2024,PA012,Tokyo,Perth,Business Class,739.2,Yes,0,Vegetarian
1/21/2024,PA003,London,Perth,First Class,544,Yes,1,Dairy Free
1/7/2024,PA001,London,New York,Economy,2720,Yes,2,Vegetarian
1/30/2024,PA010,Tokyo,New York,First Class,599,Yes,2,Nut Free
8/15/2024,PA009,New York,Tokyo,First Class,618,Yes,3,Nut Free
11/23/2024,PA005,London,Tokyo,Premium Economy,1220,Yes,1,None
1/22/2024,PA008,Perth,New York,Business Class,297.6,Yes,0,Nut Free
12/12/2024,PA009,New York,Tokyo,Economy,2040,Yes,3,None
5/29/2024,PA003,London,Perth,First Class,388,Yes,2,Vegan
4/23/2024,PA009,New York,Tokyo,First Class,649,Yes,3,Dairy Free
9/10/2024,PA012,Tokyo,Perth,Economy,2400,Yes,1,Nut Free
1/29/2024,PA012,Tokyo,Perth,Premium Economy,1287.5,Yes,0,Vegetarian
6/4/2024,PA001,London,New York,Economy,1020,Yes,1,Nut Free
6/20/2024,PA008,Perth,New York,Premium Economy,517.5,Yes,2,Dairy Free
5/15/2024,PA001,London,New York,Premium Economy,720,Yes,2,Vegetarian
1/9/2024,PA002,New York,London,Business Class,284.4,Yes,2,None
9/26/2024,PA011,Perth,Tokyo,Economy,3495,Yes,1,Nut Free
3/26/2024,PA012,Tokyo,Perth,Premium Economy,1577.5,Yes,0,Vegetarian
1/7/2024,PA012,Tokyo,Perth,Premium Economy,707.5,Yes,3,Vegetarian
4/1/2024,PA007,New York,Perth,First Class,307,Yes,1,Dairy Free
9/7/2024,PA011,Perth,Tokyo,Premium Economy,1557.5,Yes,1,Vegan
8/30/2024,PA008,Perth,New York,Premium Economy,502.5,Yes,1,Egg Free
12/9/2024,PA008,Perth,New York,Premium Economy,1690,Yes,3,Nut Free
5/24/2024,PA012,Tokyo,Perth,Economy,2370,Yes,0,None
7/27/2024,PA011,Perth,Tokyo,Business Class,343.2,Yes,1,Dairy Free
2/17/2024,PA002,New York,London,First Class,461,Yes,3,Vegetarian
6/17/2024,PA004,Perth,London,Economy,1755,Yes,3,Vegetarian
8/5/2024,PA007,New York,Perth,Economy,2915,Yes,2,Vegetarian
11/9/2024,PA010,Tokyo,New York,Economy,1855,Yes,3,Dairy Free
6/3/2024,PA007,New York,Perth,First Class,608,Yes,3,Egg Free
11/17/2024,PA010,Tokyo,New York,First Class,540,Yes,3,Dairy Free
12/25/2024,PA006,Tokyo,London,Premium Economy,1185,Yes,0,Vegetarian
10/21/2024,PA003,London,Perth,First Class,493,Yes,1,Vegan
9/24/2024,PA001,London,New York,First Class,655,Yes,0,Nut Free
4/28/2024,PA010,Tokyo,New York,First Class,569,Yes,3,Vegan
8/14/2024,PA005,London,Tokyo,Premium Economy,1050,Yes,0,Egg Free
10/1/2024,PA008,Perth,New York,Premium Economy,1487.5,Yes,3,Dairy Free
8/28/2024,PA008,Perth,New York,First Class,523,Yes,3,Dairy Free
8/27/2024,PA010,Tokyo,New York,Premium Economy,1475,Yes,1,Vegan
7/4/2024,PA011,Perth,Tokyo,First Class,433,Yes,2,Egg Free
11/22/2024,PA011,Perth,Tokyo,Premium Economy,1155,Yes,1,Vegan
10/11/2024,PA002,New York,London,First Class,344,Yes,2,Vegetarian
7/26/2024,PA003,London,Perth,Premium Economy,1277.5,Yes,3,None
10/27/2024,PA010,Tokyo,New York,Economy,3145,Yes,3,Nut Free
9/18/2024,PA001,London,New York,Business Class,751.2,Yes,1,Nut Free
8/6/2024,PA007,New York,Perth,First Class,659,Yes,2,Dairy Free
3/21/2024,PA009,New York,Tokyo,Premium Economy,647.5,Yes,2,Vegetarian
4/1/2024,PA009,New York,Tokyo,Premium Economy,830,Yes,3,Vegetarian
3/30/2024,PA001,London,New York,Business Class,806.4,Yes,2,Nut Free
5/27/2024,PA010,Tokyo,New York,Business Class,703.2,Yes,3,Nut Free
12/21/2024,PA003,London,Perth,Economy,2585,Yes,1,None
10/29/2024,PA010,Tokyo,New York,Business Class,410.4,Yes,1,Nut Free
11/11/2024,PA001,London,New York,Business Class,337.2,Yes,2,Nut Free
3/28/2024,PA010,Tokyo,New York,Business Class,523.2,Yes,1,Vegetarian
7/20/2024,PA012,Tokyo,Perth,Business Class,822,Yes,3,Nut Free
6/20/2024,PA006,Tokyo,London,First Class,300,Yes,0,Vegan
12/22/2024,PA006,Tokyo,London,Premium Economy,627.5,Yes,1,Egg Free
11/10/2024,PA006,Tokyo,London,Premium Economy,1390,Yes,3,Vegetarian
8/8/2024,PA004,Perth,London,Business Class,357.6,Yes,3,Vegan
2/9/2024,PA001,London,New York,Premium Economy,1167.5,Yes,2,Vegetarian
5/14/2024,PA006,Tokyo,London,Premium Economy,1350,Yes,2,Egg Free
2/10/2024,PA001,London,New York,Premium Economy,815,Yes,3,Dairy Free
3/20/2024,PA006,Tokyo,London,Economy,1860,Yes,2,Dairy Free
4/4/2024,PA009,New York,Tokyo,Premium Economy,1425,Yes,2,None
12/17/2024,PA012,Tokyo,Perth,Premium Economy,1440,Yes,1,None
10/27/2024,PA002,New York,London,Business Class,397.2,Yes,1,Vegetarian
8/2/2024,PA005,London,Tokyo,Premium Economy,687.5,Yes,2,Egg Free
12/6/2024,PA001,London,New York,Economy,2635,Yes,1,Nut Free
4/5/2024,PA005,London,Tokyo,Premium Economy,1552.5,Yes,0,Egg Free
10/19/2024,PA007,New York,Perth,Economy,2230,Yes,0,Dairy Free
9/7/2024,PA003,London,Perth,Business Class,446.4,Yes,3,Vegan
7/12/2024,PA008,Perth,New York,Economy,1165,Yes,3,None
10/18/2024,PA007,New York,Perth,Business Class,501.6,Yes,0,Nut Free
5/2/2024,PA003,London,Perth,First Class,668,Yes,2,Dairy Free
7/5/2024,PA001,London,New York,Economy,2685,Yes,0,Dairy Free
6/22/2024,PA003,London,Perth,Premium Economy,1162.5,Yes,2,Vegetarian
11/28/2024,PA009,New York,Tokyo,Business Class,643.2,Yes,1,Vegetarian
6/12/2024,PA010,Tokyo,New York,First Class,624,Yes,0,None
5/20/2024,PA008,Perth,New York,First Class,629,Yes,1,Vegan
12/21/2024,PA009,New York,Tokyo,First Class,381,Yes,1,Dairy Free
1/25/2024,PA003,London,Perth,Business Class,711.6,Yes,0,Egg Free
5/21/2024,PA006,Tokyo,London,First Class,617,Yes,2,Nut Free
1/23/2024,PA001,London,New York,First Class,254,Yes,0,Egg Free
10/13/2024,PA011,Perth,Tokyo,Business Class,337.2,Yes,3,Vegetarian
12/20/2024,PA007,New York,Perth,Economy,3045,Yes,1,Dairy Free
9/24/2024,PA004,Perth,London,Premium Economy,1075,Yes,3,Dairy Free
11/6/2024,PA010,Tokyo,New York,Business Class,277.2,Yes,2,Egg Free
6/29/2024,PA009,New York,Tokyo,Economy,2740,Yes,3,Vegan
3/1/2024,PA007,New York,Perth,Business Class,685.2,Yes,1,Egg Free
9/2/2024,PA008,Perth,New York,First Class,458,Yes,0,Dairy Free
4/8/2024,PA010,Tokyo,New York,First Class,223,Yes,0,None
2/25/2024,PA005,London,Tokyo,Premium Economy,1002.5,Yes,1,Vegan
7/28/2024,PA007,New York,Perth,Economy,1360,Yes,3,Vegetarian
12/27/2024,PA012,Tokyo,Perth,Business Class,637.2,Yes,2,Nut Free
5/6/2024,PA004,Perth,London,Business Class,626.4,Yes,2,Dairy Free
12/29/2024,PA007,New York,Perth,First Class,607,Yes,0,None
6/27/2024,PA006,Tokyo,London,Premium Economy,617.5,Yes,0,None
6/21/2024,PA005,London,Tokyo,Economy,2635,Yes,1,Vegan
2/15/2024,PA006,Tokyo,London,Economy,3445,Yes,2,Nut Free
10/3/2024,PA006,Tokyo,London,Economy,2805,Yes,3,Vegan
4/4/2024,PA012,Tokyo,Perth,Economy,3190,Yes,2,Egg Free
9/16/2024,PA002,New York,London,Premium Economy,720,Yes,3,Nut Free
4/25/2024,PA003,London,Perth,Economy,2450,Yes,3,Egg Free
6/9/2024,PA001,London,New York,Business Class,584.4,Yes,3,None
6/14/2024,PA009,New York,Tokyo,Premium Economy,695,Yes,2,Nut Free
3/14/2024,PA002,New York,London,Premium Economy,1360,Yes,3,Dairy Free
6/23/2024,PA010,Tokyo,New York,Economy,2345,Yes,0,Dairy Free
10/13/2024,PA010,Tokyo,New York,First Class,615,Yes,3,Egg Free
1/24/2024,PA007,New York,Perth,Premium Economy,1462.5,Yes,1,Vegetarian
9/9/2024,PA010,Tokyo,New York,Business Class,540,Yes,2,Vegan
1/11/2024,PA008,Perth,New York,Business Class,516,Yes,2,Vegan
11/10/2024,PA010,Tokyo,New York,First Class,595,Yes,3,Dairy Free
12/1/2024,PA007,New York,Perth,Premium Economy,637.5,Yes,0,Vegetarian
8/22/2024,PA012,Tokyo,Perth,First Class,605,Yes,3,Vegetarian
11/26/2024,PA005,London,Tokyo,First Class,316,Yes,3,Dairy Free
2/17/2024,PA003,London,Perth,First Class,561,Yes,1,Dairy Free
5/7/2024,PA002,New York,London,Premium Economy,895,Yes,3,Dairy Free
5/24/2024,PA009,New York,Tokyo,First Class,514,Yes,1,Vegetarian
8/9/2024,PA008,Perth,New York,Business Class,366,Yes,3,Vegetarian
12/28/2024,PA012,Tokyo,Perth,Premium Economy,1357.5,Yes,2,Dairy Free
1/17/2024,PA004,Perth,London,Economy,2120,Yes,0,Nut Free
12/2/2024,PA006,Tokyo,London,First Class,397,Yes,2,Egg Free
12/18/2024,PA010,Tokyo,New York,First Class,697,Yes,1,Dairy Free
2/21/2024,PA004,Perth,London,Business Class,606,Yes,2,Nut Free
4/23/2024,PA008,Perth,New York,Premium Economy,750,Yes,1,Vegan
4/18/2024,PA009,New York,Tokyo,Economy,2280,Yes,0,Egg Free
2/3/2024,PA008,Perth,New York,First Class,682,Yes,2,Vegetarian
6/30/2024,PA003,London,Perth,Premium Economy,1417.5,Yes,1,Egg Free
4/13/2024,PA009,New York,Tokyo,Business Class,783.6,Yes,2,Vegan
7/27/2024,PA009,New York,Tokyo,Economy,2625,Yes,2,None
3/16/2024,PA011,Perth,Tokyo,First Class,404,Yes,0,Dairy Free
6/20/2024,PA001,London,New York,Economy,2015,Yes,0,None
3/2/2024,PA007,New York,Perth,Business Class,475.2,Yes,1,Vegan
5/31/2024,PA001,London,New York,Business Class,438,Yes,0,Vegetarian
4/28/2024,PA002,New York,London,Business Class,807.6,Yes,3,Vegetarian
9/19/2024,PA007,New York,Perth,Economy,2005,Yes,2,Vegetarian
12/5/2024,PA003,London,Perth,Business Class,360,Yes,0,Vegetarian
9/22/2024,PA002,New York,London,Premium Economy,900,Yes,1,Egg Free
5/25/2024,PA003,London,Perth,Business Class,440.4,Yes,1,Vegan
10/18/2024,PA003,London,Perth,Business Class,446.4,Yes,3,Dairy Free
11/14/2024,PA010,Tokyo,New York,First Class,415,Yes,3,Egg Free
1/15/2024,PA008,Perth,New York,Business Class,716.4,Yes,3,Dairy Free
2/19/2024,PA006,Tokyo,London,Economy,1920,Yes,3,None
4/19/2024,PA004,Perth,London,Economy,2015,Yes,3,Vegan
5/2/2024,PA009,New York,Tokyo,Premium Economy,1547.5,Yes,2,Egg Free
10/27/2024,PA008,Perth,New York,Premium Economy,1015,Yes,2,Vegan
7/26/2024,PA007,New York,Perth,Premium Economy,747.5,Yes,1,Vegetarian
2/7/2024,PA003,London,Perth,First Class,378,Yes,2,None
11/1/2024,PA010,Tokyo,New York,First Class,626,Yes,3,Egg Free
11/19/2024,PA011,Perth,Tokyo,Economy,2370,Yes,1,None
7/25/2024,PA002,New York,London,First Class,620,Yes,0,None
10/30/2024,PA001,London,New York,Business Class,692.4,Yes,3,Vegan
5/14/2024,PA007,New York,Perth,Business Class,586.8,Yes,3,Nut Free
1/20/2024,PA002,New York,London,First Class,201,Yes,2,Egg Free
1/16/2024,PA002,New York,London,First Class,421,Yes,1,Nut Free
5/23/2024,PA012,Tokyo,Perth,Economy,1780,Yes,1,Vegan
8/10/2024,PA008,Perth,New York,Premium Economy,1325,Yes,2,None
8/9/2024,PA002,New York,London,First Class,323,Yes,1,Nut Free
5/5/2024,PA004,Perth,London,Premium Economy,962.5,Yes,3,Vegan
4/23/2024,PA003,London,Perth,Premium Economy,1575,Yes,1,None
5/20/2024,PA002,New York,London,Premium Economy,1660,Yes,2,Nut Free
6/14/2024,PA004,Perth,London,Premium Economy,1080,Yes,1,Egg Free
1/29/2024,PA001,London,New York,First Class,251,Yes,3,Dairy Free
10/9/2024,PA012,Tokyo,Perth,Economy,2285,Yes,1,Nut Free
3/2/2024,PA012,Tokyo,Perth,Business Class,752.4,Yes,2,Nut Free
8/3/2024,PA008,Perth,New York,Economy,2255,Yes,3,Dairy Free
8/8/2024,PA004,Perth,London,Premium Economy,1452.5,Yes,0,Dairy Free
12/4/2024,PA012,Tokyo,Perth,Premium Economy,1015,Yes,0,Vegan
2/1/2024,PA004,Perth,London,Economy,2520,Yes,0,Egg Free
5/29/2024,PA007,New York,Perth,Business Class,439.2,Yes,1,Nut Free
8/21/2024,PA003,London,Perth,Economy,1220,Yes,3,Vegetarian
3/3/2024,PA005,London,Tokyo,Economy,1225,Yes,0,None
5/22/2024,PA003,London,Perth,Economy,3415,Yes,0,Nut Free
8/8/2024,PA004,Perth,London,First Class,604,Yes,2,Nut Free
12/20/2024,PA009,New York,Tokyo,Business Class,424.8,Yes,3,Egg Free
6/14/2024,PA011,Perth,Tokyo,Economy,1545,Yes,1,Nut Free
3/8/2024,PA009,New York,Tokyo,Economy,2355,Yes,3,Vegan
5/19/2024,PA004,Perth,London,Premium Economy,1540,Yes,0,None
4/21/2024,PA009,New York,Tokyo,Premium Economy,1315,Yes,2,Egg Free
11/20/2024,PA004,Perth,London,Business Class,818.4,Yes,1,Vegan
10/10/2024,PA007,New York,Perth,Premium Economy,1110,Yes,3,None
9/26/2024,PA009,New York,Tokyo,Economy,1350,Yes,3,Vegetarian
2/13/2024,PA005,London,Tokyo,Premium Economy,685,Yes,3,Nut Free
1/27/2024,PA010,Tokyo,New York,First Class,348,Yes,2,Dairy Free
2/17/2024,PA001,London,New York,Business Class,397.2,Yes,2,Vegan
1/31/2024,PA005,London,Tokyo,Business Class,806.4,Yes,2,Nut Free
11/13/2024,PA006,Tokyo,London,Premium Economy,1440,Yes,0,Vegan
3/21/2024,PA011,Perth,Tokyo,Premium Economy,502.5,Yes,0,Vegetarian
6/7/2024,PA008,Perth,New York,Premium Economy,1572.5,Yes,2,Egg Free
7/18/2024,PA006,Tokyo,London,Economy,1450,Yes,1,Vegan
1/6/2024,PA003,London,Perth,Business Class,324,Yes,2,Dairy Free
2/2/2024,PA003,London,Perth,Business Class,578.4,Yes,2,Nut Free
12/29/2024,PA011,Perth,Tokyo,Business Class,273.6,Yes,3,Egg Free
9/23/2024,PA009,New York,Tokyo,Business Class,619.2,Yes,3,Vegetarian
2/25/2024,PA002,New York,London,Premium Economy,725,Yes,1,Vegetarian
4/4/2024,PA012,Tokyo,Perth,Economy,2420,Yes,2,Vegan
4/27/2024,PA001,London,New York,Premium Economy,1045,Yes,0,Nut Free
5/15/2024,PA007,New York,Perth,Premium Economy,850,Yes,2,Vegan
9/28/2024,PA010,Tokyo,New York,Business Class,396,Yes,3,None
1/22/2024,PA007,New York,Perth,Economy,1350,Yes,3,Vegan
3/18/2024,PA004,Perth,London,Premium Economy,702.5,Yes,3,Vegan
7/21/2024,PA008,Perth,New York,First Class,543,Yes,2,Vegan
7/15/2024,PA012,Tokyo,Perth,Premium Economy,1422.5,Yes,2,Nut Free
7/26/2024,PA005,London,Tokyo,First Class,578,Yes,1,Dairy Free
2/24/2024,PA005,London,Tokyo,Premium Economy,1560,Yes,3,Dairy Free
3/2/2024,PA012,Tokyo,Perth,Business Class,271.2,Yes,3,Egg Free
12/26/2024,PA003,London,Perth,Premium Economy,787.5,Yes,2,Vegetarian
4/7/2024,PA006,Tokyo,London,Economy,2885,Yes,1,Dairy Free
1/19/2024,PA010,Tokyo,New York,Business Class,728.4,Yes,1,Dairy Free
8/29/2024,PA008,Perth,New York,First Class,366,Yes,1,None
11/12/2024,PA002,New York,London,First Class,553,Yes,0,None
4/20/2024,PA003,London,Perth,Business Class,654,Yes,0,Vegetarian
10/14/2024,PA007,New York,Perth,Economy,1170,Yes,3,Vegan
9/14/2024,PA004,Perth,London,Economy,2565,Yes,1,Dairy Free
2/19/2024,PA010,Tokyo,New York,Premium Economy,1297.5,Yes,2,None
8/17/2024,PA009,New York,Tokyo,Economy,1125,Yes,0,Vegetarian
10/8/2024,PA005,London,Tokyo,First Class,239,Yes,3,None
4/4/2024,PA011,Perth,Tokyo,Premium Economy,1457.5,Yes,0,None
5/20/2024,PA003,London,Perth,Economy,1935,Yes,0,Vegan
8/24/2024,PA008,Perth,New York,Business Class,326.4,Yes,3,Dairy Free
5/31/2024,PA008,Perth,New York,First Class,601,Yes,3,Vegan
2/18/2024,PA011,Perth,Tokyo,Premium Economy,595,Yes,1,Nut Free
8/17/2024,PA005,London,Tokyo,Economy,1895,Yes,0,Egg Free
3/27/2024,PA001,London,New York,Economy,1630,Yes,1,Nut Free
1/7/2024,PA002,New York,London,Premium Economy,1227.5,Yes,3,Vegan
7/9/2024,PA001,London,New York,Business Class,351.6,Yes,3,Vegan
1/16/2024,PA010,Tokyo,New York,Business Class,777.6,Yes,3,Nut Free
9/5/2024,PA002,New York,London,First Class,267,Yes,3,Dairy Free
1/2/2024,PA010,Tokyo,New York,Business Class,572.4,Yes,0,Vegan
11/16/2024,PA011,Perth,Tokyo,Premium Economy,1180,Yes,0,None
